Country,Detailed Locations,Began,Ended,Duration,Dead,Displaced,Damage (USD),Main cause,Severity,Affected_Area,Magnitude,Longitude,Latitude
Philippines,Negros Island - 23 villages in Negros Occidental province,19-Nov-01,21-Nov-01,3,0,29000,,Heavy rain,1,6244.32,4.3,122.957,10.2122
Uganda,Masaka district: Kyazanga,15-Nov-01,16-Nov-01,2,0,1200,,Heavy rain,1,1218.62,3.4,31.7964,-0.145811
USA,"Central Texas - Edwards Plateau, Austin and San Antonio areas. Counties: Edwards, Williamson, Blanco, Real. Towns: Austin, Rocksprings, Blanco, Asherton, Three Rivers, Mathis, Bastrop, Refugio. Rivers: Nueces, Colorado, Guadalupe, Mission, Frio, San Antonio Oso Creek in Corpus Christi, Yegya Creek.",15-Nov-01,19-Nov-01,5,10,0,,Heavy rain,1,7733.72,4.6,-99.8764,29.8942
Algeria,"Algierscity and surrounding towns- Districts: Bab el Oued, Triolet, Ain Benina, Oued Korich, Rais, Hamidou, Hammamet. Frais Vallon region. Other towns: Chlef, Tipaza, Relizane, Tiaret, Tlemcen, Mascara, Ain Tenouchent, Bourmerdes, Oran, Mostaganem, Medea, Tizi-Ousou.",10-Nov-01,14-Nov-01,5,711,24000,"300,000,000",Heavy rain,2,977.076,4,3.06793,36.6831
Cuba,"Puerto Rico- throughout island. municipalities of Aguada, Aguadilla, Moca . Rivers: Rio Culebrinas, Rio Camuy, Rio Cibuco, Rio de Bayamon, Rio de la Plata, Rio Grande de Arecibo, Rio Grande de Loiza, Rio Grande de Manati, Rio Limon, Rio Piedras and Rio Tanama,",07-Nov-01,15-Nov-01,9,0,250,"17,000,000",Heavy rain,1,8801.88,4.9,-66.4289,18.2233
Philippines,"Philippines: Camiguin Island -Mahinog, Catarman, Sagay, Mambajao. Cebu Island - Toledo and Cebu cities Negros Island - Negros Occidental province. Panay Island - Capiz province Cagayan de Oro city on Mindanao Island Central Vietnam: Phu Yen, Binh dinh, and Quang Ngai Provinces",06-Nov-01,09-Nov-01,4,320,223000,"47,700,000",Tropical cyclone,1,612.352,3.4,124.709,9.17656
Malaysia ,"Pahang- Raub district, Mentakab. Kampung Batu Kapor, Kampung Sungai Buloh and Taman Mentakab Indah. Rivers: Jelai, Semantan, Tembeling, Lipis. Perlis - Kampung Lembah Biak, Beseri. River: Sungai Jarum",05-Nov-01,12-Nov-01,8,1,0,,Heavy rain,1,7155.21,4.8,102.092,4.11128
Somalia,Middle Jubba region- Jilib town area,01-Nov-01,14-Nov-01,14,0,6000,,Heavy rain,1,3907.32,4.7,42.5089,0.491533
Rwanda,"Kijote settlement in Mutura district, north-west Gisenyi province",30-Oct-01,02-Nov-01,4,2,3000,,Heavy rain,1,1196.74,3.7,29.3907,-1.73326
Nicaragua,"Northern Honduras - Provinces: Gracias a Dios, Cortes, Atlantica, Colon. Mosquitia region. Cities: Palacios, Aguas, Bruce Laguna, Sangrelaya, Yoro, La Lima, San Pedro Sula, La Ceiba, Rio Abajo, Olanchito. Northern Nicaragua- Puerto Cabezas Cuba - Provinces: Matanzas, Cienfuegos, Villa Clara, Havana, Guantanamo, Holguin, Sancti Spiritus and Municipio Especial Isla de la Juventud. Cities: Varadero. Havana, Baracoa, Sagua. Rivers: Toa, Sagua. Eastern Jamaica - St. Catherine, Portland and St. Mary parishes. Annotto Bay town.",26-Oct-01,15-Nov-01,21,19,27118340,"18,000,000",Tropical cyclone,1,69951.26,6.2,-80.2017,22.3394
