Country,Detailed Locations,Began,Ended,Duration,Dead,Displaced,Damage (USD),Main cause,Severity,Affected_Area,Magnitude,Longitude,Latitude
United Kingdom,"Northern England, Scotland, and Northern Ireland",05-Dec-15,06-Jan-16,33,3,64000,,Heavy Rain,2,36750.19,6.4,-2.77486,54.9868
Philippines,"Oriental Mindoro, including the provinces of Albay, Northern Samar, Oriental Mindoro, Romblon and Sorsogon",12-Dec-15,06-Jan-16,26,40,20000,,"Tropical storms Melor, Onyok",1.5,6147.67,5.4,121.229,12.8357
Kenya,"Garissa, Tana River, Migori, Busia and Homa Bay",01-Dec-15,06-Jan-16,37,112,100000,,Heavy Rain,1.5,103769.52,6.8,39.5133,-2.03643
Australia,New South Wales Hunter region.,23-Dec-15,06-Jan-16,15,0,0,,Heavy Rain,1,66654.94,6,152.121,-30.3571
Paraguay,"Paraguay River bordering Argentina, Alberdi; Uruguay River,  Cuaresma tributary, northern city of Atiga Uruguay",01-Dec-15,06-Jan-16,37,12,170000,,Heavy Rain,2,574056.99,7.6,-55.8482,-26.0369
USA,"Central and southern Mississippi Valley, Missouri, Illinois, Kentucky, Tennesee, Arkansas, Mississippi",15-Dec-15,06-Jan-16,23,31,4000,,Heavy Rain,2,526834.76,7.4,-91.0829,35.6658
Albania,"Northern counties of KukÔs, DibÔr, DurrÔs, ShkodÔr,  southern county of GjirokastÔr, and around the capital in Tirana district, central Albania",21-Nov-15,04-Dec-15,14,1,300,,Heavy Rain,1,11409.69,5.2,19.9659,41.2871
Maldives,Addu City,25-Nov-15,04-Dec-15,10,0,0,,Torrential Rain,1.5,6371.38,5,73.1892,-0.144295
USA,"Texas, Kansas, Oklahoma",26-Nov-15,04-Dec-15,9,14,300,,Heavy Rain,1,439381.83,6.6,-100.238,33.9839
Qatar,Qatar and central and eastern parts of Saudi Arabia,25-Nov-15,04-Dec-15,10,1,0,,Torrential Rain,1,402659.81,6.6,51.885,21.6586
India,"Southern India, Tamil Nadu, Chenai",10-Nov-15,04-Dec-15,25,180,400000,,Tropical Storm Rovan,2,93202.05,6.7,78.8554,11.8278
Indonesia,"Langkat, North Sumatra",23-Oct-15,28-Oct-15,6,0,4000,,Heavy Rain,1,56237.12,5.5,98.4028,3.66137
Greece,"Athens, southern Italy, Macedonia, Albania",21-Oct-15,28-Oct-15,8,1,0,,Heavy Rain,1,129124.64,6,21.698,39.7609
Bahamas,Bahamas southern and central islands.,02-Oct-15,08-Oct-15,7,0,300,,Tropical Storm Joaquin,1.5,4639.41,4.7,-73.8324,22.4916
Egypt,Alexandria,24-Oct-15,28-Oct-15,5,0,6,,Torrential Rain,1.5,8231.84,4.8,30.4819,31.0422
Somalia,"Northern Somalia, Ethiopian Highlands",15-Oct-15,28-Oct-15,14,0,0,,Heavy Rain,1,438557.45,6.8,45.4022,4.70359
Algeria,"Tindouf, southwestern Algeria",16-Oct-15,28-Oct-15,13,0,3000,,Torrential Rain,1,92984.74,6.1,-6.95501,28.3337
Mexico,"Central Mexico, southern Texas",23-Oct-15,28-Oct-15,6,0,0,,Tropical Storm Patricia,1.5,1432949.6,7.1,-101.772,28.3812
"Uruguay,",Northern Uruguay and neighbouring parts of Argentina and Brazil,14-Oct-15,28-Oct-15,15,0,10000,,Heavy Rain,2,392899.19,7.1,-53.5718,-29.9568
Philippines,Luzon,22-Oct-15,28-Oct-15,7,54,60000,,Tropical Storm Koppu,2,80271.75,6.1,121.241,16.691
Romania,"Corbu, Black Sea Coast, eastern Romania",12-Oct-15,13-Oct-15,2,0,50,,Torrential Rain,1.5,441.218,3.1,28.7321,44.6422
New Zealand,"Gisborne Region, northeastern New Zealand",20-Sep-15,01-Oct-15,12,0,0,,Heavy Rain,1,837.216,4,177.922,-38.6637
Guatamala,"El Cambray II, Santa Catarina Pinula municipality, Guatemala",02-Oct-15,03-Oct-15,2,500,433,,Landslide,2,6023.19,4.4,-90.6128,14.8262
France," Cote dÍAzur, southeastern France",03-Oct-15,07-Oct-15,5,16,0,,Torrential Rain,1.5,2895.95,4.3,6.5302,43.3765
USA,"South Carolina, USA",01-Oct-15,13-Oct-15,13,15,800,,"Heavy Rain, Tropical Storm Joaquin",2,61355.23,6.2,-80.4927,33.5033
Nigeria,Northeastern Nigeria,30-Aug-15,11-Sep-15,13,30,2000,,Heavy Rain,1.5,186816.02,6.6,11.5284,9.95267
Vietnam,Northern Vietnam and Laos,07-Sep-15,11-Sep-15,5,2,100,,Torrential Rain,1,192886.73,6,104.762,20.5669
Japan,"Central and Eastern Japan, including Aichi Prefecture; Tokyo and north",09-Sep-15,11-Sep-15,3,3,100000,,Tropical Storm Etau,2,52859.22,5.5,140.046,36.9375
Niger,"Niger River; also Mali and Burkina Faso, and Guinea",25-Jul-15,19-Aug-15,26,4,3000,,Heavy Rain,1.5,686734.83,7.4,2.49701,14.8417
Argentina,Buenos Aires Province,10-Aug-15,19-Aug-15,10,3,11000,,Heavy Rain,1,133852.96,6.1,-59.8071,-35.1086
Uruguay,"Departments of Treinta y Tres, Soriano, TacuarembÑ and Durazno",17-Aug-15,19-Aug-15,3,0,4158,,Heavy Rain,1.5,63707.6,5.5,-55.6997,-32.6329
India,Assam,13-Aug-15,11-Sep-15,30,5,18000,,Monsoonal Rain,1,69190.14,6.3,93.751,26.8946
Philippines,"Southern Philippines, southern Bukidnon Province",02-Aug-15,05-Aug-15,4,7,0,,Torrential Rain,1,9791.46,4.6,125.052,7.39149
China, Outside the city of Xi'an in central China,02-Aug-15,05-Aug-15,4,8,0,,Torrential Rain,1.5,53741.01,5.5,112.531,35.0925
Guinea,City of Conakry and northwestern Guinea,26-Jul-15,05-Aug-15,11,4,0,,Heavy Rain,1,22455.5,5.4,-13.4378,10.0395
Macedonia,City of Tetovo and Polog Region of north-western Macedonia,03-Aug-15,05-Aug-15,3,4,0,,Torrential Rain,1,5957.41,4.3,21.1907,41.7575
Myanmar,"Wide areas of Myanmar, including: Sagaing and Magway regions, and Kachin, Chin, Kayin, Rakhine and Shan states",15-Jul-15,19-Aug-15,36,88,85400,,Monsoonal Rain,2,296423.97,7.3,95.5326,20.1747
India,"Northern, western, and eastern India (at least 5 states)",15-Jul-15,19-Aug-15,36,206,300000,,Monsoonal Rain and Tropical Storm K,2,629961.61,7.7,82.6165,26.2074
Paraguay,AsunciÑn; Paraguay River; also departments of departments of San Pedro and Guaira,25-Jul-15,05-Aug-15,12,0,3700,,Heavy Rain,1.5,28652.69,5.7,-58.273,-25.0451
Vietnam,Northern Vietnam; Province of Quang Ninh,25-Jul-15,05-Aug-15,12,20,3000,,Torrential Rain,2,24336.74,5.8,106.865,20.8137
USA,"Southeast California, Southwest Arizona",17-Jul-15,21-Jul-15,5,0,0,,Torrential Rain,1.5,109391.2,5.9,-113.587,34.1148
Philippines,"Northern Philippines, including Pangasinan Province",12-Jul-15,21-Jul-15,10,4,3000,,Monsoonal Rain,1,16151.08,5.2,120.796,15.5509
Iran,Ten provinces of Iran,14-Jul-15,21-Jul-15,8,20,0,,Torrential Rain,1,776608.3,6.8,54.0377,33.3604
Brazil,"Paranà, Santa Catarina and Rio Grande do Sul states, southern Brazil",10-Jul-15,21-Jul-15,12,3,1000,,Heavy Rain,1,690931.31,6.9,-50.751,-25.5689
Guyana,Georgetown and northern Guyana,16-Jul-15,21-Jul-15,6,0,0,,Heavy Rain,1.5,30931.23,5.4,-58.7431,6.66576
USA,"Southern Ohio, Brown County",18-Jul-15,21-Jul-15,4,3,0,,Torrential Rain,1.5,44261.07,5.4,-83.165,38.3887
Tajikistan,Gorno-Badakhsan Region,15-Jul-15,21-Jul-15,7,0,10000,,Snowmelt,1.5,56196.01,5.8,73.1149,38.0626
Pakistan,Khyber Pakhtunkhwa and Punjab provinces,15-Jul-15,19-Aug-15,36,166,803000,,Monsoonal Rain,1.5,137039.96,6.9,72.2737,34.3432
Camaroun,Douala V district area,22-Jun-15,29-Jun-15,8,0,3000,,Heavy Rain,1,4726.19,4.6,9.88421,3.94741
Pakistan,Khyber Pakhtunkhwa Province in northwest Pakistan,25-Jun-15,29-Jun-15,5,10,0,,Torrential Rain,1.5,73485.14,5.7,72.8428,35.0129
Costa Rica,"Caribbean and Northern regions; 3 provinces of LimÑn, Heredia and Cartago",21-Jun-15,29-Jun-15,9,0,700,,Heavy Rain,1.5,16754.38,5.4,-83.8331,10.1743
Vietnam, Northern province of Son La,24-Jun-15,29-Jun-15,6,7,100,,Tropical Storm Kujira,1.5,6346.62,4.8,103.525,21.3114
USA,"Southern Michigan, central Indiana, western Ohio",27-Jun-15,29-Jun-15,3,2,0,,Heavy Rain,1,161572.75,5.7,-84.7486,39.3942
Russia,Sochi,25-Jun-15,29-Jun-15,5,1,0,,Torrential Rain,1.5,5567.64,4.6,39.3401,44.1285
India,Western Gujarat state,24-Jun-15,29-Jun-15,6,81,9000,,Monsoonal Rain,1.5,43781.56,5.6,70.7643,21.8734
New Zealand,Whanganui,22-Jun-15,29-Jun-15,8,0,100,,Heavy Rain,1.5,8948.6,5,175.231,-39.8648
Bangladesh,"Southeastern Bangladesh, Cox's Bazaar; ",24-Jun-15,29-Jun-15,6,0,23,,Torrential Rain,1.5,12508.17,5.1,91.9942,22.4079
Nepal, Taplejung district of eastern Nepal,10-Jun-15,15-Jun-15,6,40,0,,Monsoonal Rain,1,12034.28,4.9,87.3919,27.4682
Georgia,Tbilisi,13-Jun-15,15-Jun-15,3,12,200,,Torrential Rain,1.5,13022.99,4.8,44.5362,42.0683
Ghana,"Togo, Benin and Ghana. Accra. Parts of Cªte dÍIvoire",02-Jun-15,15-Jun-15,14,150,5300,,Torrential Rain,1.5,266950.09,6.7,-0.546442,7.38005
India,"Assam, NE India, Barpeta, Sonitpur, Dhemaji, Lakhimpur, Tinsukia, Darrang, Nalbari, Goalpara, Jorhat, Kamrup, Baksa, Dibrugarh, Kamrup, Nagaon, Bongaigaon districts.",02-Jun-15,29-Jun-15,28,3,9000,,Monsoonal Rain,1.5,60437.23,6.4,93.8747,26.9195
Russia,"Novosibirsk, Tomsk",15-May-15,02-Jun-15,19,0,1200,,Heavy Rain,1,242622.13,6.7,81.5277,58.1901
Romania,"Northwestern Romania, including Salaj County",25-May-15,02-Jun-15,9,1,184,,Heavy Rain,1,19785.35,5.3,22.8609,46.8147
Tajikistan,"Qubodiyon, Jilikul, Khuroson, Vaksh and Hamadony districts in Khatlon province and Hoit administrative center of the Rasht valley",11-May-15,21-May-15,11,0,1776,,Torrential Rain,1,32595.44,5.6,73.2634,37.8142
Chile,"Districts of La Puntilla, Aguas Muertas and Teniente Merino in Aysen region, also AraucanÕa, Los RÕos, Los Lagos
",17-May-15,21-May-15,5,0,100,,Heavy Rain,1.5,224189.77,6.2,-72.9212,-44.1033
Tanzania,"Dar es Salaam and other regions of Tanzania, including Arusha, Kilimanjaro, Tanga and Kagera",07-May-15,21-May-15,15,12,5000,,Heavy Rain,1.5,194128.66,6.6,36.8905,-5.06017
New Zealand,Wellington,13-May-15,21-May-15,9,1,100,,Heavy Rain,1.5,7484.07,5,175.355,-41.092
USA,"Southern Plains, including Texas, Oklahoma, Arkansas states",05-May-15,29-Jun-15,56,38,600,,Heavy Rain,2,849464.57,8,-97.9863,34.1936
India,"Tamil Nadu, Bhadrairuppu in the Virudhunagar district",17-May-15,21-May-15,5,8,200,,Torrential Rain,1,14179.41,4.9,79.1771,10.7121
Columbia,"City of Salgar. Southern and western provinces, Amazonas Province",01-May-15,21-May-15,21,58,200,,Heavy Rain,2,140968.57,6.8,-74.5048,5.70693
China,"Southern, Central China. Including  Jiangxi  province and Guangxi region; Guizhou and Jiangxi provinces; ",13-May-15,29-Jun-15,48,57,82000,,Heavy Rain,1.5,247569.94,7.3,114.981,27.0326
Kenya,"Narok, SW Kenya",27-Apr-15,02-May-15,6,13,3000,,Heavy Rain,1.5,20432.58,5.3,36.2471,-0.795186
Australia,SE Queensland,01-May-15,02-May-15,2,5,0,,Torrential Rain,2,192631.23,5.9,150.513,-25.9441
Brazil,"Amazonas State, northern Brazil; Boca do Acre, in the Purus region most severely affected",01-Apr-15,02-May-15,32,5,1000,,Heavy Rain,1.5,450353.51,7.3,-67.7993,-6.97805
Pakistan,Peshawar,26-Apr-15,28-Apr-15,3,44,4800,,Torrential Rain,1.5,21148.15,5,71.8901,33.5131
Australia,New South Wales coast and near-coast areas,20-Apr-15,28-Apr-15,9,4,1000,,Heavy Rain,2,175487.07,6.5,150.612,-33.3812
Haiti,"West Department, Port-au-Prince",04-Apr-15,06-Apr-15,3,6,1000,,Heavy Rain,1,3672.34,4,-72.1912,18.685
Kazahkstan,Karaganda Oblas,23-Mar-15,15-Apr-15,24,0,5600,,Snowmelt,1,213897.13,6.7,65.5929,48.4049
Madagascar,"Central highlands, including  the capital, Antananarivo",05-Mar-15,15-Apr-15,42,0,25000,,Heavy Rain,1.5,68755.39,6.6,47.0106,-18.1557
China, Provinces of Hunan and Jiangxi,04-Apr-15,15-Apr-15,12,0,12000,,Tropical Storm Maysak,1.5,145834.77,6.4,110.676,27.9271
India, Indian-controlled Jammu and Kashmi,20-Mar-15,31-Mar-15,12,44,2907,,Heavy Rain,1.5,70287.98,6.1,76.4058,33.1767
Chile,"Regions of Atacama, Antofagasta and Coquimbo in northern Chile",25-Mar-15,08-Apr-15,15,27,2514,,Heavy Rain,2,154773.16,6.7,-68.888,-22.3617
Brazil,"State of Acre, northern Brazil, Rio Branco",23-Feb-15,15-Apr-15,52,0,10000,,Heavy Rain,1,173696.63,7,-68.9127,-9.12272
Kenya,"Southern and western Kenya,Homa Bay,  rivers near Gongo and Kotien",05-Apr-15,15-Apr-15,11,13,6500,,Heavy Rain,1.5,32934.83,5.7,35.1089,0.04848
Brazil,"Boca do Acre,  Purus River, Amazonas State",15-Mar-15,23-Mar-15,9,0,280,,Heavy Rain,1.5,168905.06,6.4,-67.725,-7.68508
Tanzania,"Kahama district, Shinyanga region, northwestern Tanzania",03-Mar-15,23-Mar-15,21,38,0,,Torrential Rain,1.5,40007.02,6.1,33.748,-4.31417
Angola,Luanda,09-Mar-15,23-Mar-15,15,0,1000,,Torrential Rain,1.5,10252.79,5.4,13.6811,-8.81664
Angola,Lobito,09-Mar-15,23-Mar-15,15,60,1000,,Torrential Rain,1.5,12133.31,5.4,13.879,-12.1145
Indonesia,"Cimanuk River, Pilangsari village, Indramayu, West Java Province",15-Mar-15,23-Mar-15,9,0,4000,,Torrential Rain,1,7001.53,4.8,108.399,-6.55868
USA,"Kentucky, Ohio, southern Indiana; lower Ohio valley",10-Mar-15,23-Mar-15,14,0,0,,Heavy Rain,1.5,56870.12,6.1,-86.2332,37.0268
Mexico,"Colima, Jalisco,  Michoacàn, Guerrero",13-Mar-15,23-Mar-15,11,0,800,,Heavy Rain,1,60978.86,5.8,-103.43,19.4811
Argentina,Central Argentina,15-Feb-15,24-Feb-15,10,7,700,,Heavy Rain,1.5,349365.45,6.7,-63.5929,-32.3809
Dominican Republic,Northeast Dominican Republic,20-Feb-15,24-Feb-15,5,0,12000,,Heavy Rain,1,11588.13,4.8,-69.8035,19.3285
Australia,"Central Queensland, also Northern Territory",22-Feb-15,24-Feb-15,3,0,350,,Tropical Storm Marcia,1.5,445272.72,6.3,135.716,-18.2
Bolivia,"Norhthern Bolivia, bordering areas of Peru and Brazil",20-Feb-15,24-Feb-15,5,0,4000,,Monsoonal Rain,1.5,487370.75,6.6,-65.8445,-11.5042
Madagascar,Madascascar,05-Jan-15,09-Feb-15,36,0,20000,,Tropical Storms Fundi and Chedza,1.5,277594.75,7.2,45.9218,-19.6675
Australia,Norh Queensland,05-Feb-15,09-Feb-15,5,0,0,,Monsoonal Rain,1.5,122203.01,6,145.675,-17.8703
Indonesia,Gorontalo Province,05-Feb-15,09-Feb-15,5,0,300,,Heavy Rain,1,18063.44,5,122.862,0.686073
Greece,Northeastern Greece,01-Feb-15,09-Feb-15,9,3,500,,Heavy Rain,1.5,151104.52,6.3,26.5972,41.4571
Bolivia," Departments of La Paz, Santa Cruz, Chuquisaca, PotosÕ, Oruro and Cochabamba",05-Jan-15,09-Feb-15,36,23,1000,,Heavy Rain,1.5,137629.71,6.9,-63.7661,-16.4638
Malawi,Southern Malawi and Mozambique,01-Jan-15,09-Feb-15,40,276,336000,,Heavy Rain,2,485939.39,7.6,35.3564,-18.7946
Australia,"Western Autralia, Firzroy, Alice Springs",05-Jan-15,11-Jan-15,7,1,0,,Heavy Rain,1.5,1519623.45,7.2,127.056,-19.1872
Philippines,"Southern Philippines, Samar, other locations",10-Dec-14,01-Jan-15,23,53,80186,,Tropical Storm Jangmai,1.5,63967.39,6.3,124.903,8.65608
Malaysia,Kelantan State; Malaysia-Thailand border; northeastern Malaysia,20-Dec-14,01-Jan-15,13,34,215000,,Monsoonal Rain,2,90680.38,6.4,102.164,4.72508
Sri Lanka,"Northern, northcentral and eastern provinces; Batticaloa district, Anuradhapura district",20-Dec-14,01-Jan-15,13,39,1000000,,Monsoonal Rain,1.5,50316.81,6,80.9834,7.90972
Colombia,ChocÑ,01-Nov-14,20-Dec-14,50,44,0,,Heavy Rain,1.5,406009.51,7.5,-75.544,4.59198
USA,"Bay Area, and Sacramento, north coastal California",11-Dec-14,14-Dec-14,4,3,0,,Torrential Rain,1,70255.56,5.4,-123.101,39.7967
Brazil,Eastern Sao Paulo,10-Dec-14,14-Dec-14,5,0,0,,Torrrential Rain,1,199807.2,6,-49.2145,-24.8513
Bulgaria,Northern Greece and along the country's northeastern borders with Turkey; Bulgaria,04-Dec-14,14-Dec-14,11,40,1000,,Heavy Rain,1.5,147616.57,6.4,27.7106,41.4579
Palestine,Gaza,26-Nov-14,05-Dec-14,10,0,300,,Torrential Rain,1.5,2861.66,4.6,34.4532,31.3378
France,Southern France; Pyrenees-Orientales region,29-Nov-14,05-Dec-14,7,5,3000,,Torrential Rain,1.5,123269.25,6.1,0.863937,43.999
USA,Southern California,01-Dec-14,05-Dec-14,5,0,40,,Torrential Rain,1,202666.27,6,-117.212,35.4299
Morocco,"Southern Morocco, Marrakesh",24-Nov-14,05-Dec-14,12,40,0,,Heavy Rain,2,273693.63,6.8,-5.61886,31.5566
Thailand,Southern Thailand; Trang Province,07-Nov-14,16-Nov-14,10,0,1000,,Monsoonal Rain,1,31653.08,5.5,99.5163,8.02409
Italy,Northern Italy,12-Nov-14,16-Nov-14,5,5,0,,Torrential Rain,1.5,36733.48,5.4,10.6129,45.9281
Indonesia,West Sumatra Jumat ,14-Nov-14,16-Nov-14,3,0,2400,,Heavy Rain,1,57442.62,5.2,100.753,-1.02615
France,Southeastern France,13-Nov-14,16-Nov-14,4,5,0,,Heavy Rain,1.5,36709.07,5.3,5.09507,44.2452
Greece,Athens,25-Oct-14,27-Oct-14,3,0,0,,Torrential Rain; Tropical Storm Gon,1,4855.4,4.2,23.4176,38.1738
Somalia,"Shabelle River, Heran Province",24-Oct-14,16-Nov-14,24,0,21000,,Heavy Rain,1.5,42635.81,6.2,45.2538,4.13428
India,Southern India,22-Oct-14,27-Oct-14,6,5,300,,Monsoonal Rain,1,115476.31,5.8,78.2616,10.2916
Spain,"Canary Islands, Tenerife",19-Oct-14,22-Oct-14,4,1,0,,Torrential Rain,1,7566.97,4.5,-16.5329,28.2782
India,"Uttar Pradesh, Andhra Pradesh, Odisha states",12-Oct-14,27-Oct-14,16,42,0,,Tropical Storm Hudhug,1.5,376261.49,7,79.6967,18.4473
Mexico,Guerrero and Oaxaca states,18-Oct-14,27-Oct-14,10,6,4000,,Tropical Storm Trudy,1.5,187176.03,6.4,-98.4317,21.7845
South Sudan, Warrap State,15-Oct-14,27-Oct-14,13,4,140,,Heavy Rain,1,388189.52,6.7,31.1747,6.69427
USA,Palm Beach County,21-Oct-14,22-Oct-14,2,0,0,,Torrential Rain,1,8447.1,4.2,-80.4061,26.9326
Nicaragua,"Nicaragua, Honduras, Guatamala",15-Oct-14,27-Oct-14,13,24,33000,,Torrential Rain,1.5,221816.02,6.6,-87.5693,13.8455
Nicaragua, North and south-western Nicaragua,09-Oct-14,11-Oct-14,3,1,50,,Heavy Rain,1.5,79061.87,5.6,-85.6393,12.6289
Italy,Genoa,10-Oct-14,11-Oct-14,2,1,0,,Torrential Rain,1,6229.19,4.1,9.17775,44.6146
Democratic Republic of Congo,Eastern Democratic Republic of Congo,04-Oct-14,11-Oct-14,8,4,200,,Monsoonal Rain,1,781320.47,6.8,25.2115,-7.98006
Malaysia,"Sabah, Malaysia",04-Oct-14,11-Oct-14,8,0,100,,Torrential Rain,1,31695.74,5.4,117.183,6.0074
Philippines, Metropolitan Manila and northern and central Philippine provinces,19-Sep-14,11-Oct-14,23,5,83000,,Tropical Storm Fung-Wong,1.5,30855.03,6,121.612,14.6575
India, Meghalaya and Assam,24-Sep-14,11-Oct-14,18,59,30000,,Monsoonal rain,1.5,61894.97,6.2,92.4891,26.7465
Vanuatu,Vanuatu,03-Oct-14,11-Oct-14,9,1,100,,Torrential Rain,1,3365.71,4.5,166.967,-15.3154
South Sudan,"Eastern Equatoria's Magwi county, other locations in South Sudan",21-Sep-14,11-Oct-14,21,7,3000,,Heavy Rain,1,143087.31,6.5,32.9068,6.94173
China,Southwestern China; Sichuan and Guizhou provinces; megacity of Chongqing,01-Sep-14,08-Sep-14,8,44,121700,,Monsoonal Rain,1.5,55272.31,5.8,108.35,30.7799
Thailand,Sukhothai and Ayutthaya,01-Sep-14,08-Sep-14,8,0,400,,Monsoonal Rain,1,34449.25,5.4,100.457,16.4039
Bulgaria,"Region of Burgas, Bulgaria",05-Sep-14,08-Sep-14,4,3,0,,Torrential Rain,1,7804.96,4.5,27.4879,42.6219
South Korea,Southeast South Korea,24-Aug-14,04-Sep-14,12,5,0,,Torrential Rain,1.5,35508.04,5.8,128.392,36.051
Panama,"ChiriquÕ Province, western Panama",18-Aug-14,04-Sep-14,18,9,116,,Heavy Rain,1,22658.51,5.6,-80.9628,8.23894
Dominican Republic,"San Pedro de Macoris, El Seibo and Hato Mayo provinces",20-Aug-14,04-Sep-14,16,0,4000,,Tropical Storm Cristobal,1,13399.5,5.3,-69.754,19.0682
Pakistan,"NE Pakistan, NW India; Kashmir, Jammu, Srinagar provinces",01-Sep-14,11-Oct-14,41,300,30000,,Monoonal Rain,2,253686.93,7.3,75.3419,33.9449
Bangladesh,Northern Bangladesh,20-Aug-14,08-Sep-14,20,17,500000,,Monsoonal Rain,1.5,35999.91,6,90.6333,24.5661
USA,Detroit Michigan and surrounding region,10-Aug-14,19-Aug-14,10,1,0,,Torrential Rain,2,11462.27,5.4,-83.3134,42.5291
India,Assam,15-Aug-14,08-Sep-14,25,1,75000,,Monsoonal Rain,1,44290.91,6,94.6542,27.6132
Niger,Central and western regions,13-Aug-14,19-Aug-14,7,12,10000,,Heavy Rain,1,350748.91,6.4,6.40648,16.3273
India,"Bihar Province;  Bagha, Gopalganj, Madhubani, Sitamarhi, Supaul, Saharsa, Khagaria, Darbhanga and Madhepura districts",14-Aug-14,08-Sep-14,26,0,10000,,Monsoonal Rain,1.5,62650.8,6.4,86.2537,26.1795
Indonesia,Bogor district of West Java; Bone Bolango regency of Gorontalo Province,11-Aug-14,19-Aug-14,9,2,600,,Torrential Rain,1,65176.82,5.8,107.83,-7.0044
China,"Fujian, Jiangxi, Hunan, Guangdong, Sichuan and Guangxi Zhuang regions; Guizhou",11-Aug-14,19-Aug-14,9,27,10000,,Monsoonal Rain,1.5,387775.13,6.7,114.164,25.4709
India,Uttar Pradesh,11-Aug-14,08-Sep-14,29,31,4000,,Monsoonal Rain,1.5,107474.39,6.7,79.7586,27.3852
Nepal,"Western Nepal;  Surkhet, Dang, Banke, Bardiya and Salyan districts",12-Aug-14,08-Sep-14,28,180,17000,,Monsoonal Rain,1.5,55212.66,6.4,81.9731,28.9832
Japan,Western and central Japan,16-Aug-14,19-Aug-14,4,3,12000,,Torrential Rain,2,76116.81,5.8,136.31,35.7986
Papua New Gunea,Southern Highlands Province,20-Jul-14,29-Jul-14,10,4,0,,Heavy Rain,1.5,51770.21,5.9,143.399,-6.06802
China,"Hainan, Guanxi Provinces, northern Viet Nam",18-Jul-14,29-Jul-14,12,46,100000,,Typhoon Rammasun,2,82764.22,6.3,107.508,21.4955
Russia,"Magadan Oblast, Russian Far East",22-Jul-14,29-Jul-14,8,0,0,,Heavy Rain,2,224475.55,6.6,156.129,62.7394
India,Chhattisgarh and Odisha,20-Jul-14,29-Jul-14,10,6,15000,,Monsoonal Rain,1,189576.05,6.3,84.1258,20.7752
South Sudan,"Southern Sudan and South Sudan;  Khartoum, Kassala, River Nile, North Darfur and White Nile;  Gezira, Northern, Sennar, North Kordufan, South Kordofan and West Darfur",20-Jul-14,08-Sep-14,51,77,112000,,Heavy Rain,1.5,641087.55,7.7,31.0015,10.2137
Brazil,State of Rio Grande do Sul; Uruguay River,03-Jul-14,29-Jul-14,27,10,50000,,Heavy Rain,2,44866.46,6.4,-58.0256,-32.3467
Nepal,"Sindhupalchok, Lalitpur and Chitwan districts of Nepal",01-Jul-14,14-Jul-14,14,16,2400,,Torrential Rain,1.5,11578.77,5.4,84.6207,28.4737
Bangladesh,"Bhola District in the Division of Barisal, Bangladesh",13-Jul-14,14-Jul-14,2,0,30000,,Heavy Rain and High Tide,1.5,217.529,2.8,90.5498,22.3313
USA," Mendenhall Lake and River, Juneau, Alaska",11-Jul-14,14-Jul-14,4,0,0,,J_kulhlaup,1,2950.82,4.1,-134.446,58.1993
Brazil,"Amazonas State; Northwestern Brazil; Careiro da Varzea; Manaus, Rio Negro",22-May-14,29-Jul-14,69,0,0,,Heavy Rain,2,256564.57,7.5,-59.5597,-2.92934
Sudan,Sinja locality in the eastern Sudan state of Senna,07-Jul-14,14-Jul-14,8,0,42400,,Heavy Rain,1.5,137141.28,6.2,33.08,13.3883
New Zealand,"North Island, Hikurangi Swamp area, north of Whangarei; Tangiteroria",05-Jul-14,14-Jul-14,10,0,0,,Heavy Rain,1,8581.24,4.9,174.068,-35.6989
Thailand,"Rayong,  Chiang Rai, and Trang",11-Jul-14,14-Jul-14,4,0,500,,Heavy Rain,1,15921.63,4.8,99.739,19.8258
China,"Southern China;  Hunan, Jiangxi provinces;  Guangxi Zhuang Autonomous Region",05-Jun-14,25-Jun-14,21,14,337000,,Monsoonal Rain,1,377101.63,6.9,112.358,26.4396
India,Assam,23-Jun-14,25-Jun-14,3,0,10000,,Monsoonal Ran,1,49220.53,5.2,94.716,27.8115
Philippines,Southern Philippine province of Maguindanao,17-Jun-14,25-Jun-14,9,0,35000,,Heavy Rain,1,15356.31,5.1,124.73,6.7719
USA,"South Dakota, Iowa, Illinois, Missouri, Minnesota",10-Jun-14,14-Jul-14,35,0,600,,Heavy Rain,2,418317.13,7.5,-94.7944,42.708
Bulgaria,"Eastern Bulgaria; Varna district of Asparuhov; Varna, Dobrich and Veliko Tarnovo",19-Jun-14,25-Jun-14,7,12,2000,,Torrential Rain,2,24415.42,5.5,27.0426,42.9445
Paraguay,"Southern Brazil, Parana State; Paraguay River and El Chaco region, Paraguay",03-Jun-14,14-Jul-14,42,9,265000,,Heay Rain,2,554605.25,7.7,-53.547,-24.3541
Russia," Altai region, Khakassia Republic, and Altai Republic",04-Jun-14,10-Jun-14,7,70,3000,,Torrential Rain,1.5,1829701.35,7.3,94.3696,55.0332
Mexico,"Chiapas, SE Mexico.W  Guatamala",01-Jun-14,10-Jun-14,10,22,25000,,Monsoonal Rain,1.5,113685.43,6.2,-94.0274,16.5997
Iran,"Khorasan, Mazandaran and Semnan provinces",01-Jun-14,10-Jun-14,10,37,440000,,Monsoonal Rain,1.5,305525.25,6.7,57.2544,34.3756
China,"Southern China, Guangdong Province",30-May-14,10-Jun-14,12,6,500,,Heavy Rain,1,45994.3,5.7,113.342,23.2652
